fullName,fileID,guid,assembly,path
AddressableAssets.DocExampleCode.UsingResolveInternalId,11500000,c8e9fe359bd1fe94c8529447c3342a2a,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingResolveInternalId.cs
AddressableAssets.DocExampleCode.UsingResourceLocators,11500000,fa4c633b074b9764294948e525c07a1b,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingResourceLocators.cs
AddressableAssets.DocExampleCode.UsingResourceManager,11500000,09b3b931802726b4bb0194bac55fa739,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingResourceManager.cs
AddressableAssets.DocExampleCode.UsingRuntimePath,11500000,027c478450e773e47b8cc1fbe7455f72,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingRuntimePath.cs
AddressableAssets.DocExampleCode.UsingStreamingAssetsSubFolder,11500000,d3cbfb08ad9ea4b4b93c2c2f3cc73e70,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingStreamingAssetsSubFolder.cs
AddressableAssets.DocExampleCode.UsingUnloadScene,11500000,7bcc4daca72f2dd41bca1527a1bfe3d4,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingUnloadSceneAsync.cs
AddressableAssets.DocExampleCode.WebRequestOverride,11500000,b5a753a236aae5c4aafa36766a011ec3,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/WebRequestOverride.cs
AddressableAssetsIntegrationTests.AddressablesIntegrationTests,11500000,cfcdca687c6d4574928e2741e1fb9287,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/AddressablesImplTests.cs
AddressableAssetsIntegrationTests.AddressablesIntegrationTests,11500000,3f0645bd0f9b0ea46a9bec32c403ab9e,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/AddressablesIntegrationTests.cs
AddressableAssetsIntegrationTests.AddressablesIntegrationTests,11500000,bf5e6ef0e57ead045be2e03ae1ec38b0,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/AddressablesIntegrationTestsImpl.cs
AddressableAssetsIntegrationTests.AssetBundleProviderRetryTests,11500000,5c35311ca4216ab42a6379e176e9f3bd,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/AssetBundleProviderRetryTests.cs
AddressableAssetsIntegrationTests.CleanBundleCacheTests,11500000,541f73e53f31a9c45aada1a7441da18a,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/CleanBundleCacheTests.cs
AddressableAssetsIntegrationTests.ManualPercentCompleteOperation,11500000,a6212fd4877a4704aa905b317e16bac8,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/ManualPercentCompleteOperation.cs
AddressableAssetsIntegrationTests.ObjectReferenceMonoBehaviour,11500000,1c250a53221434148be3ac31d903d8c2,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/ObjectReferenceMonoBehaviour.cs
AddressableBuildTaskTestBase,11500000,0fc8c72284fb9414ca3384e659772838,Unity.Addressables.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/Build/AddressableBuildTaskTestBase.cs
AddressableTests.AsyncTask.AsyncTaskTests,11500000,5f4d1d59e25085e489592b2342c86673,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/AsyncTaskTests.cs
AddressableTests.FastModeInitTests.FastModeInitializationTests,11500000,441d6ab2de7dd3948b7b50882e4370e7,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/Initialization/FastModeInitializationTests.cs
AddressableTests.NamespaceTests,11500000,2e8fbd4615494ef7a887e02c7e70f24e,Unity.Addressables.Runtime.Tests,Packages/com.unity.addressables/Tests/Runtime/NamespaceTests.cs
